protocol_type,service,flag,logged_in,is_host_login,is_guest_login
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,2,9,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,3,5,0,0,0
2,3,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
0,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,6,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,6,1,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,6,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,9,0,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,2,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
0,3,9,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,5,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,5,0,0,0
2,3,9,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,5,0,0,0
1,5,9,1,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
2,3,9,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
0,3,9,0,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,5,0,0,0
1,3,2,0,0,0
0,3,9,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
0,3,9,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
0,3,9,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
2,3,9,0,0,0
1,3,5,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
2,3,9,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,5,0,0,0
0,3,9,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,9,0,0,0
1,3,2,1,0,0
1,3,9,0,0,0
1,3,1,0,0,0
1,3,9,0,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,9,0,0,0
1,3,9,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,1,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,1,0,0
1,3,5,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
1,3,5,0,0,0
0,3,9,0,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,1,0,0,0
1,3,1,0,0,0
1,3,5,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,2,0,0,0
1,3,5,0,0,0
1,3,2,1,0,0
1,3,2,0,0,0
1,3,5,0,0,0
2,3,9,0,0,0
1,5,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,1,9,0,0,0
2,4,9,0,0,0
2,4,9,0,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,5,9,1,0,0
1,5,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,5,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
1,5,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,5,9,1,0,0
2,4,9,0,0,0
1,5,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
2,3,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,2,9,1,0,0
1,5,9,1,0,0
1,2,9,1,0,0
1,5,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,5,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
2,3,9,0,0,0
2,4,9,0,0,0
1,2,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,2,9,1,0,0
1,5,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
1,2,9,1,0,0
2,4,9,0,0,0
1,0,9,1,0,1
1,2,9,1,0,0
2,4,9,0,0,0
1,1,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,5,9,1,0,0
1,5,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,5,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,5,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
1,1,9,0,0,0
1,1,9,0,0,0
1,1,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,5,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
1,5,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
2,4,9,0,0,0
1,2,9,1,0,0
2,4,9,0,0,0
2,4,9,0,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
1,2,9,1,0,0
